scan,run,px,py,x,y,Unemployment,GDP Growth,Inflation,Pension Growth,YoungUnemp,OldUnemp,PensionBalEnd,Bankruptcies
mpc x birth,33,mpc-income,birth-count-shift,0.65,-3.0,0.06051925806567976,-0.003050023484707902,0.01023023639802271,0.0063379270202585354,0.0786531844560446,0.056741493714163926,3483.785836160567,42
mpc x birth,34,mpc-income,birth-count-shift,0.65,-3.0,0.06161921605159476,-0.0018516667785711226,0.009656192963624586,0.000569566252414366,0.07881868268177421,0.057847877436607444,3277.463545356177,36
mpc x birth,35,mpc-income,birth-count-shift,0.65,-3.0,0.0625072646777269,-0.003615002047817077,0.0099903162857076,0.009020559513494114,0.08324702287855539,0.058122928624717705,3562.769327743125,42
mpc x birth,36,mpc-income,birth-count-shift,0.65,-3.0,0.0648677455110694,-0.0015015476490611564,0.008549038955511148,0.0004873386548758923,0.08322368256963537,0.06061295712931055,3265.2987345888373,35
mpc x birth,37,mpc-income,birth-count-shift,0.65,-3.0,0.05257932903282755,-0.001738207238025958,0.010018781544403273,0.001052356450249,0.06547381025917041,0.04965036429959809,3277.5401711348586,40
mpc x birth,38,mpc-income,birth-count-shift,0.65,-3.0,0.05471672729964705,-0.00233867792485212,0.009078590595432775,0.0013939478238428657,0.06767283902362409,0.05177571081668795,3300.587211078902,40
mpc x birth,39,mpc-income,birth-count-shift,0.65,-3.0,0.05621905967862408,-0.0018333741272223152,0.006630019185363882,0.0065995221470624655,0.06967058672582974,0.05321031370854203,3483.2923327067792,38
mpc x birth,40,mpc-income,birth-count-shift,0.65,-3.0,0.0496928790654559,-0.0016836575292738121,0.007017092797149158,0.00018958878513199387,0.06172738804115774,0.04690716403670168,3278.4654605049614,37
mpc x birth,41,mpc-income,birth-count-shift,0.65,-3.0,0.05895632202889589,-0.0027008366805149966,0.007901575626525579,-0.0015358251868397787,0.0735055693828986,0.05553097077663997,3203.3402888626474,39
mpc x birth,42,mpc-income,birth-count-shift,0.65,-3.0,0.06625752049348174,-0.0028780784388273925,0.007849151339255482,0.001515224275726971,0.08311649288658735,0.06259812714044641,3330.094252002313,38
mpc x birth,43,mpc-income,birth-count-shift,0.65,-3.0,0.056959472398562305,-0.0023890439826943204,0.010404593460867823,0.0036933665815226443,0.06770165023102231,0.05415752154858229,3380.1171206040285,40
mpc x birth,44,mpc-income,birth-count-shift,0.65,-3.0,0.06049259267631857,-0.0022148516398411916,0.008717036157267667,0.009030104521078318,0.08052638990385581,0.056177298833017475,3626.4902012430034,37
mpc x birth,45,mpc-income,birth-count-shift,0.65,-3.0,0.050313946412098756,-0.0015210921595651913,0.008398401325091663,0.00023346809358575982,0.06411513248319918,0.04709956012212975,3269.162331902632,39
mpc x birth,46,mpc-income,birth-count-shift,0.65,-3.0,0.052128186570594,0.0008239816081625788,0.005526062265978726,-0.0029788869085032943,0.06897726666086654,0.04849870492377431,3174.33053444013,29
mpc x birth,47,mpc-income,birth-count-shift,0.65,-3.0,0.05782380350400903,-0.0015961093493624511,0.007246061910136903,0.0026226376098102324,0.07202713012934665,0.05444265070844053,3337.8126747361607,37
mpc x birth,48,mpc-income,birth-count-shift,0.65,-3.0,0.05670900363669649,-0.0023539336667365374,0.00969484355251953,-0.0016186170858171816,0.06793164312007831,0.053877932250910684,3197.819133935588,40
mpc x birth,49,mpc-income,birth-count-shift,0.65,-3.0,0.050512290751463816,-0.0008860634495775142,0.006317884534927056,0.009672039486635245,0.07047976682456976,0.04629244129205835,3626.090147002336,36
mpc x birth,50,mpc-income,birth-count-shift,0.65,-3.0,0.04864338729888142,-0.0007310021177333562,0.007615664249763223,-0.0013774522630016295,0.06197336472488683,0.04549217489321493,3211.530583307138,35
mpc x birth,51,mpc-income,birth-count-shift,0.65,-3.0,0.06150737091872786,-0.003158880485830587,0.009295572237101644,-0.001880710213073307,0.07999166726919389,0.057560523437196,3183.0887137256345,40
mpc x birth,52,mpc-income,birth-count-shift,0.65,-3.0,0.053357315792685545,-0.00043150647894531376,0.005901613065751242,0.0017112010519630266,0.07081520035157592,0.04944883139379058,3334.850519277718,34
mpc x birth,53,mpc-income,birth-count-shift,0.65,-3.0,0.059628073416889596,-0.003344888113517225,0.010609913842913547,0.0007176658309011758,0.077026335794822,0.0557725238268844,3267.273879978898,40
mpc x birth,54,mpc-income,birth-count-shift,0.65,-3.0,0.050156234191203894,0.0009284904056820828,0.006465825292819367,0.001418853964346208,0.06355173861524997,0.04697508813691169,3343.3124863835437,31
mpc x birth,55,mpc-income,birth-count-shift,0.65,-3.0,0.05116901987342322,-0.002826010714690831,0.008898382879852354,0.002182395620216288,0.06590351692985597,0.04768504553159415,3341.182921137438,40
mpc x birth,56,mpc-income,birth-count-shift,0.65,-3.0,0.05930086561016614,-0.002259436768081574,0.009964325179313187,-0.0037651651387700523,0.07261146692552149,0.05604777238546536,3101.5510082420883,38
mpc x birth,57,mpc-income,birth-count-shift,0.65,-3.0,0.05863413386556811,-0.00235989361619535,0.008753911041913228,0.0013409360226209067,0.0677976768306415,0.05618928836517116,3288.2851810721068,40
mpc x birth,58,mpc-income,birth-count-shift,0.65,-3.0,0.0547790809400117,-0.00044611345483441177,0.008208942935057011,0.001039863235086686,0.06605624828069176,0.052178829694025555,3272.777970165505,36
mpc x birth,59,mpc-income,birth-count-shift,0.65,-3.0,0.06497120467184495,-0.0036180693936495078,0.010424271484001754,-0.0007742877883603447,0.08160804356239641,0.06098080498124507,3214.8423966802798,38
mpc x birth,60,mpc-income,birth-count-shift,0.65,-3.0,0.058002418080769294,-0.0018857480074818411,0.008408160959678732,0.0033022055187145747,0.07094477383419562,0.05496522012511884,3344.965524115242,38
mpc x birth,61,mpc-income,birth-count-shift,0.65,-2.0,0.059286301770185366,-0.0011366847855542848,0.007361664624974973,0.003730933629442601,0.07583472440762455,0.05546177377422068,3382.306752470781,37
mpc x birth,62,mpc-income,birth-count-shift,0.65,-2.0,0.07499270746465446,-0.0011708344241270702,0.007271286129038861,-0.004593266571243237,0.09743188944721307,0.06974442870786943,3069.890047634628,35
mpc x birth,63,mpc-income,birth-count-shift,0.65,-2.0,0.06447088688184557,-0.002243253348523198,0.00785250100997396,0.0035717236425902143,0.08849402913919538,0.05869273939233015,3383.5565239072494,36
mpc x birth,64,mpc-income,birth-count-shift,0.65,-2.0,0.06243107633376015,-0.00291702145855566,0.00721661016768061,0.00675964911378827,0.08300546486562597,0.057471062541247696,3516.5339609773573,41
mpc x birth,65,mpc-income,birth-count-shift,0.65,-2.0,0.07089911191327694,-0.0012315639376813414,0.007204257930260895,4.491849682991694e-05,0.0878194380541487,0.06677359784381984,3252.6199443861265,34
mpc x birth,66,mpc-income,birth-count-shift,0.65,-2.0,0.06606728222407057,-1.6736575217057502e-05,0.007410878907935368,-0.006416994225666262,0.08707154821442502,0.060882597756122356,3059.905771922512,32
mpc x birth,67,mpc-income,birth-count-shift,0.65,-2.0,0.06443459160416576,-0.00153870853739147,0.007404516218233011,-0.00015135415776293553,0.0805987977155323,0.060565379644074324,3234.14722841699,35
mpc x birth,68,mpc-income,birth-count-shift,0.65,-2.0,0.06852400922588218,-0.0008520766701095447,0.007322053887355731,-0.003292774662057156,0.08808060682163443,0.06385282265054612,3114.279060301412,36
mpc x birth,69,mpc-income,birth-count-shift,0.65,-2.0,0.0697860367513742,-0.0021919477680808993,0.010107077411399495,-0.004761850943032176,0.08676136779420221,0.06556154907646003,3072.748555281545,35
mpc x birth,70,mpc-income,birth-count-shift,0.65,-2.0,0.06434973553805404,-0.0005072804158417828,0.0077657094675232605,0.0078594589469652,0.07725210139750856,0.061083586155999056,3604.675299374768,38
mpc x birth,71,mpc-income,birth-count-shift,0.65,-2.0,0.06037488480153217,-0.002031536035264079,0.0076334755927175285,-0.005023653759947983,0.07699287183775984,0.05623861292112029,3058.274338470075,41
mpc x birth,72,mpc-income,birth-count-shift,0.65,-2.0,0.06381322951338295,-0.0019575894319297195,0.008764921220738853,0.0036575877160776324,0.08898677076582286,0.05782130523021637,3411.328515622473,38
