run,retirement-ages,pension-replace-scale,mpc-income,consumer-choices,job-applications,Unemployment,GDP Growth,Inflation,Pension Growth
2104,173,0.6,0.85,5,3,0.0157847682335489,0.001004192051773196,0.0012483573317701258,-0.03799294263517135
2105,173,0.6,0.85,5,3,0.01589511367279296,0.0007598375307720974,0.0014794795249030252,-0.03391769614055416
2106,173,0.6,0.85,5,3,0.014992206255379397,0.0007053693318343788,0.0012532110701512743,-0.034128503090792184
2107,173,0.6,0.85,5,3,0.014496178947261368,0.0009721135651206613,0.0014846329566502987,-0.03779687255390699
2108,173,0.6,0.85,5,3,0.014572762703163827,0.0007827818766020003,0.0012591126797282044,-0.03954527803685279
2109,173,0.6,0.85,5,3,0.015596553862227951,0.0008167514966877793,0.002485877807365262,-0.04628018931177571
2110,173,0.6,0.85,5,3,0.017737942703782435,0.0007861025182434956,0.0019329083929749238,-0.0373779996423408
2111,173,0.6,0.85,5,3,0.016190396832118443,0.0008087436002423256,0.0013671929851555627,-0.04356421032373891
2112,173,0.6,0.85,5,3,0.017628784402640478,0.000999014048875606,0.0019444857472868708,-0.02702578740529902
2113,173,0.6,0.85,5,3,0.014405486346407764,0.0007538401883621019,0.0013081298411593992,-0.050136649117920776
2114,173,0.6,0.85,5,3,0.015120064008733372,0.0008097407954284021,0.0011689873556947282,-0.03997314999377045
2115,173,0.6,0.85,5,3,0.01648122845657589,0.0006487185062294726,0.0016887915200240813,-0.04478830972161078
2116,173,0.6,0.85,5,3,0.018068925513582745,0.0008196391102924822,0.0016636488131479272,-0.041066542537997214
2117,173,0.6,0.85,5,3,0.013349723527383539,0.001112391695905023,0.0009502292729392124,-0.03811617921339428
2118,173,0.6,0.85,5,3,0.01700050490457469,0.0007241625919942696,0.0017670215635796256,-0.04055195739871598
2119,173,0.6,0.85,5,3,0.013193636832801827,0.0008371732766060682,0.0009785440881436873,-0.0356213076114063
2120,173,0.6,0.85,5,3,0.014585233103523821,0.0010418112967890045,0.0009983714283236882,-0.03615240401439399
2121,173,0.6,0.85,5,3,0.019697966574302256,0.00044848935510795167,0.0024118564791400852,-0.03004684051761112
2122,173,0.6,0.85,5,3,0.018901221691968128,0.0005577884757730929,0.0015784799686611773,-0.04098722850830152
2123,173,0.6,0.85,5,3,0.019198956440625605,0.0006403207696469349,0.002202094547020066,-0.04305271559312648
2124,173,0.6,0.85,5,3,0.015429260826523877,0.0008913944153022792,0.0011845541308781208,-0.03867630464341981
2125,173,0.6,0.85,5,3,0.014962670108871104,0.0008147013274692639,0.0011310118466689289,-0.035732684465833615
2126,173,0.6,0.85,5,3,0.015952525345926668,0.0006923578125944444,0.00165742601344934,-0.04353342640737402
2127,173,0.6,0.85,5,3,0.014027764973259818,0.0009212347853219795,0.0011619247047923132,-0.028809887623689637
