x,y,t,fund,unemp,gdp
0.525,201,26,6906.753965584492,0.15914887869180383,0.01531867453736521
0.525,201,27,7032.422659261092,0.14609170717799005,0.009133250382477035
0.525,201,28,7160.119319022746,0.13582331803220532,0.0026657543187605065
0.525,201,29,7266.772433065442,0.14311362557249183,0.007004367571322073
0.525,201,30,7372.963629314347,0.1410359066853866,0.00231007161908888
0.525,201,31,7478.263746252483,0.1385839763435795,0.005527804908801117
0.525,201,32,7582.806538232766,0.13476225749302753,0.0069603662079682676
0.525,201,33,7651.57763544047,0.14435290147353214,0.0061628046902450495
0.525,201,34,7717.861983677595,0.14144089864854087,0.004322459543177479
0.525,201,35,7781.100834591145,0.13961617619439254,0.0029644787828912843
0.525,201,36,7840.7355590576235,0.14166055884356407,-0.000686711975521017
0.525,201,37,7927.900862644635,0.16974274059000266,-0.023053977798158456
0.525,201,38,8009.4444711291935,0.1903323717571588,-0.02068411121578289
0.525,201,39,8083.316490232673,0.21714310560981914,-0.024833773340730128
0.525,201,40,8149.815446840544,0.24221604208790548,-0.022457832652435228
0.525,205,1,3312.0336204736004,0.07393801002480757,0.00447052701888144
0.525,205,2,3472.583076771225,0.08807331312953336,-0.0016273944490403994
0.525,205,3,3633.0758348775953,0.09356051670126357,-0.002553623206232787
0.525,205,4,3794.816934569895,0.09449823852661766,-0.0009366488691005095
0.525,205,5,3955.570647930138,0.11073598898592728,0.0005618812890100914
0.525,205,6,4115.982958817817,0.11257831056690357,0.00024743275340355044
0.525,205,7,4275.934842569891,0.11323466547940383,0.0007445462698877915
0.525,205,8,4435.4588556465405,0.1143828520873383,0.0012629720964497477
0.525,205,9,4605.594450900616,0.12956899856571794,0.0020552165924844932
0.525,205,10,4776.160157754172,0.1303488287230332,0.00246505532967396
0.525,205,11,4946.853519379781,0.1308512221340496,0.003808348137328036
0.525,205,12,5117.365458396413,0.13187779269899993,0.0031543009220217624
0.525,205,13,5284.5944965827075,0.14369101817000254,0.003246506838710006
0.525,205,14,5452.6729215311,0.14058994365346064,0.004285445733254618
0.525,205,15,5621.971259625987,0.13689665143274196,0.004252820371951213
0.525,205,16,5792.360521100101,0.132619963295806,0.005248946870170969
0.525,205,17,5956.573071979913,0.14221001236201672,0.004987175018673946
0.525,205,18,6120.483129242709,0.13985617347629356,0.0022031067896251064
0.525,205,19,6283.221529432939,0.14083630812418177,-0.00429522196047852
0.525,205,20,6442.593453583488,0.14899649646148413,-0.016200490130704483
0.525,205,21,6586.862238220292,0.18299522660600187,-0.0337092699052476
0.525,205,22,6724.147959244822,0.20270148956309028,-0.03345966353403607
0.525,205,23,6858.698525849364,0.20828653064470343,-0.005349943691639364
0.525,205,24,6994.4395428047565,0.20266300649525315,0.011592959111293951
0.525,205,25,7126.244591050222,0.20464274193774265,0.02280008006151296
0.525,205,26,7262.897397245926,0.18706551503895236,0.021523130364403942
0.525,205,27,7404.423669550613,0.168001345254329,0.011394981905081236
0.525,205,28,7549.610012119941,0.15255484882185125,0.005877523999697441
0.525,205,29,7673.610795349477,0.15823130849385483,0.004559057080834864
0.525,205,30,7796.7895186071755,0.15505981773003338,0.005198090635124722
0.525,205,31,7918.927926123833,0.15400338927474735,0.004400324390416045
0.525,205,32,8040.143601553193,0.15165400986081395,0.005154441271661711
