Effect,Type,Metric,SS,df,eta2_pct,partial_eta2_pct,F,p
Consumer search,main,Inflation,4.7246991014483e-05,2,0.4538489985613782,1.9086536632213706,117.71069280683778,2.34364539248673e-51
Job applications,main,Inflation,6.204970134725728e-06,2,0.059604208041212275,0.2548904633420431,15.459002101962648,1.9715342972466383e-07
Retirement age × Replacement rate,interaction,Inflation,1.104953056068785e-05,4,0.10614048158123536,0.45299593123544085,13.764346359011473,3.349192213296728e-11
Retirement age × MPC income,interaction,Inflation,0.0002477826313233528,4,2.3801706028757437,9.259631020350087,308.66161603426167,2.9071004620636626e-253
Retirement age × Consumer search,interaction,Inflation,7.095062100331026e-05,4,0.6815432601790335,2.839032164797974,88.38284273822781,3.708943423387393e-74
Retirement age × Job applications,interaction,Inflation,4.3968029095223187e-07,4,0.004223516788078137,0.018104254462707102,0.5477075952374864,0.7007115512638928
Replacement rate × MPC income,interaction,Inflation,8.026378214165872e-05,4,0.7710043827886094,3.199766626620482,99.98420217168538,7.053158927757209e-84
Replacement rate × Consumer search,interaction,Inflation,1.8913439473210478e-05,4,0.18168025899546789,0.7728996206753072,23.56037935907229,1.968050760379303e-19
Replacement rate × Job applications,interaction,Inflation,1.0816012672293289e-06,4,0.01038973364090581,0.04452419312972358,1.347345426371076,0.24969408495616818
MPC income × Consumer search,interaction,Inflation,0.00012728749768587254,4,1.2227086236329527,4.9810211669067,158.56141541013616,1.7548582564608105e-132
MPC income × Job applications,interaction,Inflation,5.706320961379825e-07,4,0.005481424315462036,0.023495052811113352,0.7108336206387194,0.5843928045547542
Consumer search × Job applications,interaction,Inflation,1.2244228046450948e-06,4,0.011761660409941158,0.050400488705149175,1.5252575193527658,0.19180390129386224
Retirement age,main,Pension Growth,16.080999981727814,2,71.07128472510064,98.46251426344216,387417.5648420943,0.0
Replacement rate,main,Pension Growth,5.724589661373719,2,25.300288677330432,95.7979141891438,137914.71854049122,0.0
MPC income,main,Pension Growth,0.028294921855149133,2,0.12505170385714476,10.127077587007662,681.670899507173,3.0047784014228913e-281
Consumer search,main,Pension Growth,0.017437400076871907,2,0.07706600504552077,6.493380645477636,420.09545940147535,4.081607098506677e-177
Job applications,main,Pension Growth,0.006045783971004841,2,0.026719833000308713,2.3510770216048895,145.65281426960124,3.1137566739150055e-63
Retirement age × Replacement rate,interaction,Pension Growth,0.5140917386920099,4,2.272070168330176,67.18436475539465,6192.654988365258,0.0
Retirement age × MPC income,interaction,Pension Growth,0.0010478076873341703,4,0.004630871125445693,0.41554675772785643,12.621699617905692,2.9993119871851384e-10
Retirement age × Consumer search,interaction,Pension Growth,0.0006057616845952627,4,0.002677212935162307,0.2406590211909594,7.296894378061125,7.271149673755141e-06
Retirement age × Job applications,interaction,Pension Growth,0.0012985635488461684,4,0.005739107009424115,0.5144816029437425,15.642258829000903,9.018637982193252e-13
Replacement rate × MPC income,interaction,Pension Growth,6.754233204849909e-05,4,0.00029850881894599696,0.026890942522837455,0.8136025693588165,0.516214808255617
Replacement rate × Consumer search,interaction,Pension Growth,0.0001429112373816014,4,0.0006316078138116469,0.05688084681692804,1.721482607980256,0.14211698499994074
Replacement rate × Job applications,interaction,Pension Growth,4.169658703062929e-05,4,0.00018428145092258056,0.01660256437379764,0.5022694555061245,0.7340892554747149
MPC income × Consumer search,interaction,Pension Growth,0.0007536810664639894,4,0.0033309546500493448,0.2992490698427935,9.07870417787597,2.5541808319179756e-07
MPC income × Job applications,interaction,Pension Growth,1.7355561343864792e-05,4,7.670431212208945e-05,0.006911231227366699,0.20906191530214913,0.9335180250690764
Consumer search × Job applications,interaction,Pension Growth,3.986009094301209e-05,4,0.00017616490739370285,0.015871432465847556,0.48014735977466716,0.7503605662154819
